Date,Type,Security/Payee,Description/Category,Shares Out,Shares In,Share Balance,Cash Out,Cash In,Invest Amt,Balance
7/20/26,Buy,GOLDMAN SACHS ACTIVEBETAINTERNATIONAL EQUITY ETF,70 shares @ 45.885,,70,139,"3,211.95",,"3,211.95","10,635.87"
7/20/26,Buy,AVANTIS REAL ESTATE ETF,22 shares @ 48.74,,22,44,"1,072.28",,"1,072.28","9,563.59"
7/20/26,Sell,VANGUARD TAX-EXEMPT BONDINDEX FUND ETF SHARES,424 shares @ 50.09459906,424,,"1,229",,"21,239.59","-21,239.59","30,803.18"
7/20/26,Buy,ISHARES U.S. SMALL-CAP EQUITY FACTOR ETF,25 shares @ 86.64,,25,74,"2,166.00",,"2,166.00","28,637.18"
7/20/26,Buy,GOLDMAN SACHS ACTIVEBETAU.S. LARGE CAP EQUITY ETF,79 shares @ 142.37,,79,149,"11,247.23",,"11,247.23","17,389.95"
7/20/26,Buy,DIMENSIONAL U.S. CORE EQUITY 2 ETF,347 shares @ 44.32959654,,347,685,"15,382.37",,"15,382.37","2,007.58"
7/23/26,Dividend Income,DIMENSIONAL NATIONAL MUNICIPAL BOND ETF,Investments:Dividend Income,,,,,157.13,,"2,164.71"
8/5/26,Dividend Income,VANGUARD TAX-EXEMPT BONDINDEX FUND ETF SHARES,Investments:Dividend Income,,,,,173.9,,"2,338.61"
8/15/26,Payment/Deposit,Reconcile Adjustment,Adjustment,,,,,0.06,,"2,338.67"
8/20/26,Dividend Income,DIMENSIONAL NATIONAL MUNICIPAL BOND ETF,Investments:Dividend Income,,,,,141.11,,"2,479.78"
9/3/26,Dividend Income,VANGUARD TAX-EXEMPT BONDINDEX FUND ETF SHARES,Investments:Dividend Income,,,,,176.24,,"2,656.02"
