Date,Open,High,Low,Close,Adj Close,Volume
28-Mar-12,20.59,20.59,20.59,20.59,12.35,-
29-Mar-12,20.57,20.57,20.57,20.57,12.34,-
30-Mar-12,20.6,20.6,20.6,20.6,12.36,-
2-Apr-12,20.72,20.72,20.72,20.72,12.43,-
3-Apr-12,20.61,20.61,20.61,20.61,12.36,-
4-Apr-12,20.45,20.45,20.45,20.45,12.27,-
5-Apr-12,20.46,20.46,20.46,20.46,12.27,-
9-Apr-12,20.38,20.38,20.38,20.38,12.23,-
10-Apr-12,20.17,20.17,20.17,20.17,12.1,-
11-Apr-12,20.26,20.26,20.26,20.26,12.15,-
12-Apr-12,20.44,20.44,20.44,20.44,12.26,-
13-Apr-12,20.3,20.3,20.3,20.3,12.18,-
16-Apr-12,20.31,20.31,20.31,20.31,12.18,-
17-Apr-12,20.48,20.48,20.48,20.48,12.29,-
18-Apr-12,20.43,20.43,20.43,20.43,12.26,-
19-Apr-12,20.38,20.38,20.38,20.38,12.23,-
20-Apr-12,20.42,20.42,20.42,20.42,12.25,-
23-Apr-12,20.29,20.29,20.29,20.29,12.17,-
24-Apr-12,20.33,20.33,20.33,20.33,12.2,-
25-Apr-12,20.5,20.5,20.5,20.5,12.3,-
26-Apr-12,20.58,20.58,20.58,20.58,12.35,-
27-Apr-12,20.62,20.62,20.62,20.62,12.37,-
30-Apr-12,20.58,20.58,20.58,20.58,12.35,-
1-May-12,20.62,20.62,20.62,20.62,12.37,-
2-May-12,20.6,20.6,20.6,20.6,12.36,-
3-May-12,20.5,20.5,20.5,20.5,12.3,-
4-May-12,20.32,20.32,20.32,20.32,12.19,-
7-May-12,20.34,20.34,20.34,20.34,12.2,-
8-May-12,20.25,20.25,20.25,20.25,12.15,-
9-May-12,20.16,20.16,20.16,20.16,12.09,-
10-May-12,20.19,20.19,20.19,20.19,12.11,-
11-May-12,20.16,20.16,20.16,20.16,12.09,-
14-May-12,20.01,20.01,20.01,20.01,12.0,-
15-May-12,19.91,19.91,19.91,19.91,11.94,-
16-May-12,19.84,19.84,19.84,19.84,11.9,-
17-May-12,19.68,19.68,19.68,19.68,11.81,-
18-May-12,19.57,19.57,19.57,19.57,11.74,-
21-May-12,19.76,19.76,19.76,19.76,11.85,-
22-May-12,19.75,19.75,19.75,19.75,11.85,-
23-May-12,19.73,19.73,19.73,19.73,11.84,-
24-May-12,19.73,19.73,19.73,19.73,11.84,-
25-May-12,19.72,19.72,19.72,19.72,11.83,-
29-May-12,19.86,19.86,19.86,19.86,11.91,-
30-May-12,19.69,19.69,19.69,19.69,11.81,-
31-May-12,19.7,19.7,19.7,19.7,11.82,-
1-Jun-12,19.44,19.44,19.44,19.44,11.66,-
4-Jun-12,19.42,19.42,19.42,19.42,11.65,-
5-Jun-12,19.49,19.49,19.49,19.49,11.69,-
6-Jun-12,19.75,19.75,19.75,19.75,11.85,-
7-Jun-12,19.75,19.75,19.75,19.75,11.85,-
8-Jun-12,19.8,19.8,19.8,19.8,11.88,-
11-Jun-12,19.67,19.67,19.67,19.67,11.8,-
12-Jun-12,19.8,19.8,19.8,19.8,11.88,-
13-Jun-12,19.73,19.73,19.73,19.73,11.84,-
14-Jun-12,19.84,19.84,19.84,19.84,11.9,-
15-Jun-12,19.99,19.99,19.99,19.99,11.99,-
18-Jun-12,20.02,20.02,20.02,20.02,12.01,-
19-Jun-12,20.15,20.15,20.15,20.15,12.09,-
20-Jun-12,20.15,20.15,20.15,20.15,12.09,-
21-Jun-12,19.87,19.87,19.87,19.87,11.92,-
22-Jun-12,19.93,19.93,19.93,19.93,11.96,-
25-Jun-12,19.75,19.75,19.75,19.75,11.85,-
26-Jun-12,19.8,19.8,19.8,19.8,11.88,-
27-Jun-12,19.92,19.92,19.92,19.92,11.95,-
28-Jun-12,19.73,19.73,19.73,19.73,11.94,-
29-Jun-12,20.06,20.06,20.06,20.06,12.14,-
2-Jul-12,20.13,20.13,20.13,20.13,12.18,-
3-Jul-12,20.23,20.23,20.23,20.23,12.24,-
5-Jul-12,20.17,20.17,20.17,20.17,12.2,-
6-Jul-12,20.06,20.06,20.06,20.06,12.14,-
9-Jul-12,20.04,20.04,20.04,20.04,12.12,-
10-Jul-12,19.95,19.95,19.95,19.95,12.07,-
11-Jul-12,19.95,19.95,19.95,19.95,12.07,-
12-Jul-12,19.88,19.88,19.88,19.88,12.03,-
13-Jul-12,20.07,20.07,20.07,20.07,12.14,-
16-Jul-12,20.05,20.05,20.05,20.05,12.13,-
17-Jul-12,20.13,20.13,20.13,20.13,12.18,-
18-Jul-12,20.2,20.2,20.2,20.2,12.22,-
19-Jul-12,20.26,20.26,20.26,20.26,12.26,-
20-Jul-12,20.12,20.12,20.12,20.12,12.17,-
23-Jul-12,19.97,19.97,19.97,19.97,12.08,-
24-Jul-12,19.87,19.87,19.87,19.87,12.02,-
25-Jul-12,19.89,19.89,19.89,19.89,12.03,-
26-Jul-12,20.1,20.1,20.1,20.1,12.16,-
27-Jul-12,20.31,20.31,20.31,20.31,12.29,-
30-Jul-12,20.33,20.33,20.33,20.33,12.3,-
31-Jul-12,20.28,20.28,20.28,20.28,12.27,-
1-Aug-12,20.23,20.23,20.23,20.23,12.24,-
2-Aug-12,20.14,20.14,20.14,20.14,12.18,-
3-Aug-12,20.38,20.38,20.38,20.38,12.33,-
6-Aug-12,20.43,20.43,20.43,20.43,12.36,-
7-Aug-12,20.48,20.48,20.48,20.48,12.39,-
8-Aug-12,20.48,20.48,20.48,20.48,12.39,-
9-Aug-12,20.51,20.51,20.51,20.51,12.41,-
10-Aug-12,20.54,20.54,20.54,20.54,12.43,-
13-Aug-12,20.51,20.51,20.51,20.51,12.41,-
14-Aug-12,20.49,20.49,20.49,20.49,12.4,-
15-Aug-12,20.48,20.48,20.48,20.48,12.39,-
16-Aug-12,20.58,20.58,20.58,20.58,12.45,-
17-Aug-12,20.61,20.61,20.61,20.61,12.47,-
20-Aug-12,20.6,20.6,20.6,20.6,12.46,-
21-Aug-12,20.6,20.6,20.6,20.6,12.46,-
22-Aug-12,20.64,20.64,20.64,20.64,12.49,-
23-Aug-12,20.55,20.55,20.55,20.55,12.43,-
24-Aug-12,20.6,20.6,20.6,20.6,12.46,-
27-Aug-12,20.6,20.6,20.6,20.6,12.46,-
28-Aug-12,20.6,20.6,20.6,20.6,12.46,-
29-Aug-12,20.6,20.6,20.6,20.6,12.46,-
30-Aug-12,20.49,20.49,20.49,20.49,12.4,-
31-Aug-12,20.6,20.6,20.6,20.6,12.46,-
4-Sep-12,20.58,20.58,20.58,20.58,12.45,-
5-Sep-12,20.56,20.56,20.56,20.56,12.44,-
6-Sep-12,20.79,20.79,20.79,20.79,12.58,-
7-Sep-12,20.88,20.88,20.88,20.88,12.63,-
10-Sep-12,20.82,20.82,20.82,20.82,12.6,-
11-Sep-12,20.87,20.87,20.87,20.87,12.63,-
12-Sep-12,20.9,20.9,20.9,20.9,12.64,-
13-Sep-12,21.11,21.11,21.11,21.11,12.77,-
14-Sep-12,21.18,21.18,21.18,21.18,12.81,-
17-Sep-12,21.13,21.13,21.13,21.13,12.78,-
18-Sep-12,21.11,21.11,21.11,21.11,12.77,-
19-Sep-12,21.14,21.14,21.14,21.14,12.79,-
